basename,image_path,mask_path,width,height
.._.._label-studio_label-studio_media_upload_5_5d32cb44-anonymised_4516-018,/kaggle/working/images/train/anonymised_4516-018.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_5d32cb44-anonymised_4516-018.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_9c5e206f-anonymised_4516-019,/kaggle/working/images/train/anonymised_4516-019.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_9c5e206f-anonymised_4516-019.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_aef94fb7-anonymised_4516-021,/kaggle/working/images/train/anonymised_4516-021.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_aef94fb7-anonymised_4516-021.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_3b468d9a-anonymised_4516-026,/kaggle/working/images/train/anonymised_4516-026.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_3b468d9a-anonymised_4516-026.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_e1605125-anonymised_4516-029,/kaggle/working/images/train/anonymised_4516-029.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_e1605125-anonymised_4516-029.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_cb5dfd00-anonymised_4516-052,/kaggle/working/images/train/anonymised_4516-052.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_cb5dfd00-anonymised_4516-052.png,2560,3328
.._.._label-studio_label-studio_media_upload_5_166d31a1-anonymised_4613-010,/kaggle/working/images/train/anonymised_4613-010.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_166d31a1-anonymised_4613-010.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_02ae4d05-anonymised_4613-027,/kaggle/working/images/train/anonymised_4613-027.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_02ae4d05-anonymised_4613-027.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_22ae1bc7-anonymised_4613-029,/kaggle/working/images/train/anonymised_4613-029.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_22ae1bc7-anonymised_4613-029.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_223e4677-anonymised_5504-036,/kaggle/working/images/train/anonymised_5504-036.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_223e4677-anonymised_5504-036.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_f2d1ebf7-anonymised_5504-043,/kaggle/working/images/train/anonymised_5504-043.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_f2d1ebf7-anonymised_5504-043.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_080f96c7-anonymised_5504-047,/kaggle/working/images/train/anonymised_5504-047.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_080f96c7-anonymised_5504-047.png,2496,3520
.._.._label-studio_label-studio_media_upload_5_825574b7-anonymised_5508-055,/kaggle/working/images/train/anonymised_5508-055.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_825574b7-anonymised_5508-055.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_35203853-anonymised_5709-043,/kaggle/working/images/train/anonymised_5709-043.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_35203853-anonymised_5709-043.png,3507,4960
.._.._label-studio_label-studio_media_upload_5_b5333991-anonymised_4516-018,/kaggle/working/images/train/anonymised_4516-018.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_b5333991-anonymised_4516-018.png,2480,3507
.._.._label-studio_label-studio_media_upload_5_4110aed2-anonymised_4516-019,/kaggle/working/images/train/anonymised_4516-019.jpg,/kaggle/working/masks_full_json/.._.._label-studio_label-studio_media_upload_5_4110aed2-anonymised_4516-019.png,2480,3507
